MasterID,Mag,Magerr,RA,Dec,MJD,Blend
3045076050848,16.20,0.13,212.63707,-45.61263,53611.39860,0
3045076050848,16.25,0.13,212.63707,-45.61256,53611.40471,0
3045076050848,16.29,0.14,212.63709,-45.61255,53611.41079,0
3045076050848,16.24,0.16,212.63709,-45.61261,53611.41688,0
3045076050848,16.33,0.11,212.63705,-45.61260,53830.66257,0
3045076050848,16.46,0.12,212.63696,-45.61260,53830.67204,0
3045076050848,16.43,0.11,212.63706,-45.61253,53830.68151,0
3045076050848,16.31,0.11,212.63711,-45.61263,53830.69099,0
3045076050848,16.39,0.11,212.63713,-45.61263,53845.61945,0
3045076050848,16.40,0.11,212.63707,-45.61256,53845.62811,0
3045076050848,16.35,0.11,212.63707,-45.61262,53845.63693,0
3045076050848,16.38,0.11,212.63701,-45.61253,53845.64559,0
3045076050848,16.43,0.13,212.63707,-45.61260,53952.42586,0
3045076050848,16.46,0.13,212.63698,-45.61256,53952.43333,0
3045076050848,16.35,0.12,212.63700,-45.61255,53952.44081,0
3045076050848,16.34,0.12,212.63702,-45.61257,53952.44829,0
3045076050848,16.36,0.10,212.63708,-45.61260,53889.43049,0
3045076050848,16.22,0.09,212.63710,-45.61261,53889.44221,0
3045076050848,16.21,0.09,212.63712,-45.61259,53889.45395,0
3045076050848,16.37,0.10,212.63710,-45.61263,53889.46583,0
3045076050848,16.38,0.10,212.63703,-45.61257,53904.51639,0
3045076050848,16.41,0.10,212.63703,-45.61264,53904.52789,0
3045076050848,16.34,0.10,212.63703,-45.61259,53904.53943,0
3045076050848,16.34,0.10,212.63706,-45.61263,53904.55096,0
3045076050848,16.36,0.12,212.63701,-45.61256,53915.56167,0
3045076050848,16.40,0.12,212.63704,-45.61257,53915.57037,0
3045076050848,16.42,0.13,212.63701,-45.61257,53915.57901,0
3045076050848,16.25,0.15,212.63718,-45.61256,53915.58766,0
3045076050848,16.19,0.11,212.63711,-45.61260,53817.63827,0
3045076050848,16.37,0.11,212.63709,-45.61259,53817.64800,0
3045076050848,16.36,0.11,212.63709,-45.61258,53817.65772,0
3045076050848,16.34,0.11,212.63706,-45.61261,53817.66739,0
3045076050848,16.32,0.09,212.63706,-45.61256,53860.56819,0
3045076050848,16.24,0.08,212.63710,-45.61258,53860.58282,0
3045076050848,16.20,0.08,212.63709,-45.61261,53860.59744,0
3045076050848,16.22,0.08,212.63707,-45.61256,53860.61209,0
3045076050848,16.44,0.12,212.63711,-45.61256,53875.56655,0
3045076050848,16.47,0.12,212.63706,-45.61261,53875.57515,0
3045076050848,16.38,0.11,212.63704,-45.61263,53875.58370,0
3045076050848,16.40,0.11,212.63706,-45.61258,53875.59224,0
3045076050848,16.22,0.11,212.63709,-45.61259,53881.58186,0
3045076050848,16.18,0.11,212.63706,-45.61262,53881.59050,0
3045076050848,16.38,0.11,212.63707,-45.61260,53881.59914,0
3045076050848,16.15,0.11,212.63707,-45.61261,53881.60784,0
3045076050848,16.35,0.13,212.63712,-45.61255,54197.68206,0
3045076050848,16.42,0.14,212.63700,-45.61255,54197.69162,0
3045076050848,16.31,0.13,212.63715,-45.61258,54197.70112,0
3045076050848,16.50,0.14,212.63700,-45.61259,54197.71062,0
3045076050848,16.33,0.11,212.63707,-45.61266,54210.63257,0
3045076050848,16.31,0.11,212.63713,-45.61258,54210.64249,0
3045076050848,16.26,0.11,212.63703,-45.61253,54210.65244,0
3045076050848,16.40,0.11,212.63710,-45.61261,54210.66237,0
3045076050848,16.37,0.10,212.63706,-45.61260,54285.44511,0
3045076050848,16.31,0.10,212.63708,-45.61260,54285.45059,0
3045076050848,16.41,0.11,212.63701,-45.61253,54285.45600,0
3045076050848,16.35,0.10,212.63704,-45.61256,54285.46143,0
3045076050848,16.53,0.14,212.63704,-45.61244,54188.60124,0
3045076050848,16.31,0.13,212.63711,-45.61227,54188.60858,0
3045076050848,16.26,0.13,212.63711,-45.61262,54188.61603,0
3045076050848,16.28,0.13,212.63706,-45.61262,54188.62363,0
3045076050848,16.27,0.12,212.63698,-45.61248,54350.36855,0
