MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1101111017411,17.49,0.10,311.42801, 0.41861,53505.41686,0
1101111017411,17.36,0.09,311.42801, 0.41856,53505.42526,0
1101111017411,17.52,0.10,311.42809, 0.41861,53505.43375,0
1101111017411,17.32,0.09,311.42800, 0.41857,53505.44219,0
1101111017411,17.39,0.10,311.42809, 0.41857,53862.41798,0
1101111017411,17.40,0.10,311.42803, 0.41865,53862.42351,0
1101111017411,17.43,0.10,311.42811, 0.41862,53862.42890,0
1101111017411,17.38,0.10,311.42808, 0.41862,53862.43438,0
1101111017411,17.37,0.09,311.42803, 0.41869,54769.13032,0
1101111017411,17.45,0.09,311.42805, 0.41858,54769.13757,0
1101111017411,17.42,0.09,311.42813, 0.41858,54769.14487,0
1101111017411,17.29,0.09,311.42810, 0.41859,54769.15204,0
1101111017411,17.44,0.11,311.42811, 0.41859,55061.24242,0
1101111017411,17.40,0.11,311.42808, 0.41867,55061.24825,0
1101111017411,17.46,0.11,311.42810, 0.41858,55061.25401,0
1101111017411,17.46,0.11,311.42812, 0.41862,55061.25989,0
1101111017411,17.49,0.11,311.42807, 0.41860,55071.13858,0
1101111017411,17.38,0.11,311.42798, 0.41867,55071.14349,0
1101111017411,17.39,0.11,311.42805, 0.41858,55071.14836,0
1101111017411,17.50,0.11,311.42802, 0.41869,55071.15319,0
1101111017411,17.45,0.09,311.42802, 0.41858,55121.14292,0
1101111017411,17.49,0.10,311.42802, 0.41860,55096.20099,0
1101111017411,17.46,0.10,311.42809, 0.41859,55096.20649,0
1101111017411,17.45,0.09,311.42805, 0.41862,55096.21200,0
1101111017411,17.48,0.10,311.42806, 0.41859,55096.21751,0
1101111017411,17.56,0.10,311.42806, 0.41852,55096.22302,0
1101111017411,17.58,0.11,311.42801, 0.41864,55098.16883,0
1101111017411,17.47,0.11,311.42809, 0.41867,55098.17372,0
1101111017411,17.54,0.11,311.42799, 0.41863,55098.17862,0
1101111017411,17.51,0.11,311.42817, 0.41857,55098.18342,0
1101111017411,17.43,0.11,311.42809, 0.41860,55506.11299,0
1101111017411,17.48,0.11,311.42802, 0.41859,55506.12400,0
1101111017411,17.44,0.11,311.42816, 0.41859,55506.12947,0
1101111017411,17.42,0.11,311.42799, 0.41858,55516.08893,0
1101111017411,17.37,0.11,311.42807, 0.41861,55516.09795,0
1101111017411,17.42,0.11,311.42812, 0.41862,55516.10255,0
1101111017411,17.42,0.09,311.42809, 0.41867,55498.07380,0
1101111017411,17.56,0.10,311.42812, 0.41863,55498.08747,0
1101111017411,17.47,0.10,311.42810, 0.41864,55498.09427,0
1101111017411,17.49,0.10,311.42815, 0.41859,55681.43490,0
1101111017411,17.42,0.10,311.42807, 0.41860,55681.44235,0
1101111017411,17.43,0.10,311.42805, 0.41851,55681.44987,0
1101111017411,17.44,0.10,311.42810, 0.41868,55681.45739,0
1101111017411,17.26,0.09,311.42794, 0.41865,55733.34644,0
1101111017411,17.35,0.09,311.42803, 0.41872,55733.35208,0
1101111017411,17.41,0.10,311.42801, 0.41863,55733.35784,0
1101111017411,17.43,0.10,311.42798, 0.41865,55733.36357,0
1101111017411,17.54,0.10,311.42807, 0.41856,55121.14376,0
1101111017411,17.45,0.09,311.42808, 0.41860,55121.15048,0
1101111017411,17.54,0.10,311.42808, 0.41854,55121.15716,0
1101111017411,17.40,0.09,311.42807, 0.41862,55121.16389,0
1101111017411,17.49,0.09,311.42821, 0.41866,55827.14443,0
1101111017411,17.64,0.10,311.42806, 0.41852,55827.15236,0
1101111017411,17.57,0.10,311.42825, 0.41864,55827.16033,0
1101111017411,17.47,0.09,311.42812, 0.41855,55827.16832,0
1101111017411,17.62,0.10,311.42801, 0.41850,55856.17579,0
1101111017411,17.64,0.10,311.42809, 0.41861,55856.18408,0
1101111017411,17.58,0.10,311.42812, 0.41856,55856.19205,0
1101111017411,17.54,0.10,311.42804, 0.41866,55856.20007,0
1101111017411,17.53,0.10,311.42806, 0.41848,56090.36355,0
1101111017411,17.46,0.09,311.42804, 0.41858,56090.36970,0
1101111017411,17.41,0.09,311.42803, 0.41865,56090.37595,0
1101111017411,17.46,0.09,311.42805, 0.41857,56090.38214,0
1101111017411,17.37,0.09,311.42788, 0.41864,56192.13865,0
1101111017411,17.35,0.09,311.42805, 0.41869,56192.14375,0
1101111017411,17.55,0.10,311.42803, 0.41859,56192.14879,0
1101111017411,17.44,0.10,311.42811, 0.41861,56192.15388,0
1101111017411,17.46,0.10,311.42804, 0.41865,56205.12668,0
1101111017411,17.46,0.10,311.42800, 0.41861,56205.13457,0
1101111017411,17.33,0.09,311.42807, 0.41866,56205.14187,0
1101111017411,17.42,0.10,311.42804, 0.41863,56205.14949,0
1101111017411,17.58,0.10,311.42806, 0.41865,56457.36185,0
1101111017411,17.50,0.10,311.42807, 0.41862,56457.36976,0
1101111017411,17.46,0.10,311.42807, 0.41861,56457.37773,0
1101111017411,17.51,0.10,311.42805, 0.41865,56457.38576,0
1101111017411,17.43,0.09,311.42809, 0.41858,56560.16750,0
1101111017411,17.58,0.10,311.42802, 0.41862,56560.17444,0
1101111017411,17.47,0.10,311.42802, 0.41860,56560.18136,0
1101111017411,17.50,0.10,311.42807, 0.41869,56560.18831,0
1101111017411,17.58,0.10,311.42805, 0.41861,56570.11956,0
1101111017411,17.56,0.10,311.42796, 0.41865,56570.12464,0
1101111017411,17.62,0.10,311.42808, 0.41865,56570.12976,0
1101111017411,17.58,0.10,311.42797, 0.41863,56570.13486,0
